Epoch 1 Average Loss: 2.3275, Precision: 1.0000, Recall: 0.0008, F1: 0.0016
Epoch 2 Average Loss: 1.0921, Precision: 1.0000, Recall: 0.0111, F1: 0.0219
Epoch 3 Average Loss: 0.7862, Precision: 1.0000, Recall: 0.0301, F1: 0.0584
Epoch 4 Average Loss: 0.6543, Precision: 1.0000, Recall: 0.0380, F1: 0.0732
Epoch 5 Average Loss: 0.5750, Precision: 1.0000, Recall: 0.0530, F1: 0.1007
Epoch 6 Average Loss: 0.5085, Precision: 1.0000, Recall: 0.0712, F1: 0.1329
Epoch 7 Average Loss: 0.4586, Precision: 1.0000, Recall: 0.0981, F1: 0.1787
Epoch 8 Average Loss: 0.4116, Precision: 1.0000, Recall: 0.1155, F1: 0.2071
Epoch 9 Average Loss: 0.3809, Precision: 1.0000, Recall: 0.1179, F1: 0.2109
Epoch 10 Average Loss: 0.3531, Precision: 1.0000, Recall: 0.1313, F1: 0.2322
Epoch 11 Average Loss: 0.3251, Precision: 1.0000, Recall: 0.1408, F1: 0.2469
Epoch 12 Average Loss: 0.3022, Precision: 1.0000, Recall: 0.1424, F1: 0.2493
Epoch 13 Average Loss: 0.2884, Precision: 1.0000, Recall: 0.1653, F1: 0.2838
Epoch 14 Average Loss: 0.2803, Precision: 1.0000, Recall: 0.1701, F1: 0.2907
Epoch 15 Average Loss: 0.2619, Precision: 1.0000, Recall: 0.1859, F1: 0.3135
Epoch 16 Average Loss: 0.2505, Precision: 1.0000, Recall: 0.1922, F1: 0.3225
Epoch 17 Average Loss: 0.2396, Precision: 1.0000, Recall: 0.1820, F1: 0.3079
Epoch 18 Average Loss: 0.2315, Precision: 1.0000, Recall: 0.1978, F1: 0.3303
Epoch 19 Average Loss: 0.2204, Precision: 1.0000, Recall: 0.2081, F1: 0.3445
Epoch 20 Average Loss: 0.2133, Precision: 1.0000, Recall: 0.2025, F1: 0.3368
Epoch 21 Average Loss: 0.2101, Precision: 1.0000, Recall: 0.2057, F1: 0.3412
Epoch 22 Average Loss: 0.2036, Precision: 1.0000, Recall: 0.2263, F1: 0.3690
Epoch 23 Average Loss: 0.1947, Precision: 1.0000, Recall: 0.2381, F1: 0.3847
Epoch 24 Average Loss: 0.1925, Precision: 1.0000, Recall: 0.2381, F1: 0.3847
Epoch 25 Average Loss: 0.1840, Precision: 1.0000, Recall: 0.2429, F1: 0.3908
Epoch 26 Average Loss: 0.1788, Precision: 1.0000, Recall: 0.2484, F1: 0.3980
Epoch 27 Average Loss: 0.1750, Precision: 1.0000, Recall: 0.2619, F1: 0.4150
Epoch 28 Average Loss: 0.1726, Precision: 1.0000, Recall: 0.2547, F1: 0.4061
Epoch 29 Average Loss: 0.1684, Precision: 1.0000, Recall: 0.2785, F1: 0.4356
Epoch 30 Average Loss: 0.1623, Precision: 1.0000, Recall: 0.2832, F1: 0.4414
Epoch 31 Average Loss: 0.1642, Precision: 1.0000, Recall: 0.2682, F1: 0.4230
Epoch 32 Average Loss: 0.1552, Precision: 1.0000, Recall: 0.2816, F1: 0.4395
Epoch 33 Average Loss: 0.1515, Precision: 1.0000, Recall: 0.2769, F1: 0.4337
Epoch 34 Average Loss: 0.1477, Precision: 1.0000, Recall: 0.2967, F1: 0.4576
Epoch 35 Average Loss: 0.1487, Precision: 1.0000, Recall: 0.2959, F1: 0.4567
Epoch 36 Average Loss: 0.1439, Precision: 1.0000, Recall: 0.3196, F1: 0.4844
Epoch 37 Average Loss: 0.1393, Precision: 1.0000, Recall: 0.3339, F1: 0.5006
Epoch 38 Average Loss: 0.1359, Precision: 1.0000, Recall: 0.3267, F1: 0.4925
Epoch 39 Average Loss: 0.1335, Precision: 1.0000, Recall: 0.3481, F1: 0.5164
Epoch 40 Average Loss: 0.1315, Precision: 1.0000, Recall: 0.3584, F1: 0.5277
Epoch 41 Average Loss: 0.1280, Precision: 1.0000, Recall: 0.3489, F1: 0.5173
Epoch 42 Average Loss: 0.1275, Precision: 1.0000, Recall: 0.3576, F1: 0.5268
Epoch 43 Average Loss: 0.1207, Precision: 1.0000, Recall: 0.3695, F1: 0.5396
Epoch 44 Average Loss: 0.1200, Precision: 1.0000, Recall: 0.3718, F1: 0.5421
Epoch 45 Average Loss: 0.1186, Precision: 1.0000, Recall: 0.3861, F1: 0.5571
Epoch 46 Average Loss: 0.1173, Precision: 1.0000, Recall: 0.3790, F1: 0.5496
Epoch 47 Average Loss: 0.1162, Precision: 1.0000, Recall: 0.3916, F1: 0.5628
Epoch 48 Average Loss: 0.1092, Precision: 1.0000, Recall: 0.4019, F1: 0.5734
Epoch 49 Average Loss: 0.1129, Precision: 1.0000, Recall: 0.4027, F1: 0.5742
Epoch 50 Average Loss: 0.1097, Precision: 1.0000, Recall: 0.3813, F1: 0.5521
