Epoch 1 Average Loss: 1.7220, Precision: 1.0000, Recall: 0.0065, F1: 0.0129
Epoch 2 Average Loss: 0.5993, Precision: 1.0000, Recall: 0.0453, F1: 0.0867
Epoch 3 Average Loss: 0.4540, Precision: 1.0000, Recall: 0.0787, F1: 0.1460
Epoch 4 Average Loss: 0.3747, Precision: 1.0000, Recall: 0.0954, F1: 0.1742
Epoch 1 Average Loss: 2.7000, Precision: 0.0000, Recall: 0.0000, F1: 0.0000
Epoch 1 Average Loss: 1.9760, Precision: 1.0000, Recall: 0.0007, F1: 0.0014
Epoch 1 Average Loss: 1.7605, Precision: 1.0000, Recall: 0.0037, F1: 0.0075
Epoch 1 Average Loss: 2.7697, Precision: 1.0000, Recall: 0.0020, F1: 0.0039
Epoch 1 Average Loss: 2.0246, Precision: 1.0000, Recall: 0.0026, F1: 0.0052
